ID_Activo,Nombre_Activo,Tipo_Activo,Fecha_Compra,Costo_Adquisicion,Vida_Util_Anios,Valor_Residual,Depreciacion_Acumulada,Valor_Neto_Libros
1,Camioneta Carga Nissan B873,Vehículos,2017-06-22,31167.07,7,3463.28,10001.21,21165.86
2,Estantería Ergonómico ComfortDesign K142,Mobiliario,2018-04-21,2323.41,10,122.71,373.56,1949.85
3,Archivero Modular OfficePro W282,Mobiliario,2017-12-14,4202.56,5,353.23,1576.62,2625.94
4,Sistema Procesamiento PowerEquip X380,Maquinaria,2019-07-18,21869.18,5,1274.74,1883.24,19985.93
5,Archivero Modular ModuOffice R160,Mobiliario,2017-06-22,4834.5,8,478.11,1376.1,3458.41
6,Silla Modular ModuOffice U104,Mobiliario,2019-02-03,1952.09,10,187.85,160.36,1791.73
7,Silla Funcional ErgoStyle V504,Mobiliario,2017-02-16,1638.46,7,161.33,606.04,1032.41
8,Máquina Industrial IndusTech L445,Maquinaria,2018-10-18,14756.41,5,1663.87,3154.4,11602.01
9,Equipo Producción MaquiPro M172,Maquinaria,2019-08-26,46186.45,6,6698.94,2306.37,43880.08
10,Local Comercial Ubicación V338,Inmuebles,2018-11-07,142702.43,40,36457.08,3054.28,139648.15
11,Dispositivo Comunicación TechEquip Z903,Equipo,2019-01-02,4494.42,6,318.46,693.61,3800.8
12,Escritorio Ejecutivo ModuOffice T818,Mobiliario,2019-07-18,4884.78,7,414.76,291.97,4592.81
13,Silla Funcional ErgoStyle M765,Mobiliario,2019-06-28,4162.08,8,264.49,249.43,3912.64
14,Furgoneta Transporte Mercedes O849,Vehículos,2018-12-10,68464.92,6,9699.01,10377.55,58087.37
15,Sistema Procesamiento MachSystems R605,Maquinaria,2019-05-27,23820.94,10,3254.09,1233.17,22587.77
16,Archivero Modular OfficePro W584,Mobiliario,2017-05-26,618.65,5,54.99,293.21,325.44
17,Línea Ensamblaje IndusTech Q330,Maquinaria,2019-04-07,21953.25,6,1933.84,2457.32,19495.93
18,Camión Carga Toyota Q624,Vehículos,2018-05-26,51990.3,5,7635.78,14208.02,37782.28
19,Línea Producción PowerEquip J166,Maquinaria,2018-12-10,5615.24,10,669.18,524.06,5091.18
20,Escritorio Profesional ErgoStyle O327,Mobiliario,2018-11-08,4984.87,9,395.09,585.02,4399.84
21,Sistema Medición DevicePro S653,Equipo,2018-04-02,8646.83,3,405.33,4806.13,3840.7
22,Máquina Industrial PowerEquip Z419,Maquinaria,2018-03-25,47932.3,9,3389.9,8766.88,39165.42
23,Equipo Empaque TechMach M840,Maquinaria,2017-06-03,39064.96,6,3352.41,15350.78,23714.19
24,Equipo Medición TechTools V376,Equipo,2017-09-25,5682.77,5,377.4,2405.39,3277.38
25,Línea Empaque IndusTech W998,Maquinaria,2019-02-02,29835.81,9,1755.56,2844.54,26991.27
26,Sistema Industrial PowerEquip X322,Maquinaria,2018-08-01,31548.02,9,3534.35,4414.35,27133.66
27,Camión Carga Volkswagen K103,Vehículos,2019-01-08,28842.67,6,4664.62,3949.69,24892.98
28,Equipo Control TechEquip B946,Equipo,2017-09-06,6309.26,5,229.47,2819.76,3489.5
29,Sistema Ensamblaje TechMach M399,Maquinaria,2017-03-22,40264.39,8,3212.93,12870.37,27394.02
30,Estantería Ergonómico FurniTech S823,Mobiliario,2019-02-24,4084.12,6,393.42,523.75,3560.37
